#,Key,Name,Category,Institution Type,Parent Ministry,Location
427,SOTIK TTI,SOTIK TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,BOMET COUNTY
428,SEKU,SOUTH EASTERN KENYA UNIVERSITY,University,Public,Ministry of Education,KITUI COUNTY
429,SEKU DIRECTORATE OF TVET,SOUTH EASTERN KENYA UNIVERSITY DIRECTORATE OF TVET,College,Public,University TVET,KITUI COUNTY
430,SEKU TVET - MIGWANI,SOUTH EASTERN KENYA UNIVERSITY TVET - MIGWANI,College,Public,University TVET,KITUI COUNTY
431,SEKU TVET - MTITO ANDEI,SOUTH EASTERN KENYA UNIVERSITY TVET - MTITO ANDEI,College,Public,University TVET,MAKUENI COUNTY
432,ST.JOSEPH TI,ST JOSEPH'S TECHNICAL INSTITUTE FOR THE DEAF NYANG'OMA,College,Public,Ministry of Education,SIAYA COUNTY
433,SPU,ST PAULS UNIVERSITY,University,Private,Private Institution,KIAMBU COUNTY
434,ST. AUGUSTINE TTC - EREGI,ST. AUGUSTINE TEACHERS TRAINING COLLEGE - EREGI,College,Public,Ministry of Education,KAKAMEGA COUNTY
435,ST. JOHN'S TTC - KILIMAMBOGO,ST. JOHN'S TEACHERS TRAINING COLLEGE - KILIMAMBOGO,College,Public,Ministry of Education,KIAMBU COUNTY
436,ST. MARKS TTC-KIGARI,ST. MARKS TEACHERS TRAINING COLLEGE-KIGARI,College,Public,Ministry of Education,EMBU COUNTY
437,SUBUKIA TVC,SUBUKIA TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,NAKURU COUNTY
438,TTNP,TAITA TAVETA NATIONAL POLYTECHNIC,College,Public,Ministry of Education,TAITA TAVETA COUNTY
439,TTU,TAITA TAVETA UNIVERSITY,University,Public,Ministry of Education,TAITA TAVETA COUNTY
440,TAMBACH TTC,TAMBACH  TEACHERS TRAINING COLLEGE,College,Public,Ministry of Education,ELGEYO MARAKWET COUNTY
441,TANA RIVER TVC,TANA RIVER TECHNICAL & VOCATIONAL COLLEGE,College,Public,Ministry of Education,TANA RIVER COUNTY
442,TU,TANGAZA UNIVERSITY,University,Private,Private Institution,NAIROBI COUNTY
443,TARBAJ TTC,TARBAJ TEACHERS TRAINING COLLEGE,College,Public,Ministry of Education,WAJIR COUNTY
444,TARBAJ TVC,TARBAJ TECHNICAL & VOCATIONAL COLLEGE,College,Public,Ministry of Education,WAJIR COUNTY
445,TAVETA TVC,TAVETA TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,TAITA TAVETA COUNTY
446,TUK,TECHNICAL UNIVERSITY OF KENYA,University,Public,Ministry of Education,NAIROBI COUNTY
447,TUM,TECHNICAL UNIVERSITY OF MOMBASA,University,Public,Ministry of Education,MOMBASA COUNTY
448,TUM TVET,TECHNICAL UNIVERSITY OF MOMBASA TVET INSTITUTE,College,Public,University TVET,MOMBASA COUNTY
449,TETU TVC,TETU TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,NYERI COUNTY
450,THARAKA TVC,THARAKA TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,MERU COUNTY
451,THRKU,THARAKA UNIVERSITY,University,Public,Ministry of Education,THARAKA NITHI COUNTY
452,THARAKA UNIVERSITY TI,THARAKA UNIVERSITY TVET INSTITUTE,College,Public,University TVET,THARAKA NITHI COUNTY
453,BUNGOMA  POLY,THE BUNGOMA NATIONAL POLYTECHNIC,College,Public,Ministry of Education,BUNGOMA COUNTY
454,THE CUK INSTITUTE OF TVET,THE CO-OPERATIVE UNIVERSITY OF KENYA INSTITUTE OF TVET (CUK - ITVET),College,Public,University TVET,NAIROBI COUNTY
455,CUK NAIROBI CBD TI,THE CUK NAIROBI CBD TRAINING INSTITUTE,College,Public,University TVET,NAIROBI COUNTY
456,TEAU,THE EAST AFRICAN UNIVERSITY,University,Private,Private Institution,KAJIADO COUNTY
457,UOEM TI,THE UNIVERSITY OF EMBU TVET INSTITUTE,College,Public,University TVET,EMBU COUNTY
458,THIKA TTI,THIKA TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,KIAMBU COUNTY
459,THOGOTO TTC,THOGOTO TEACHERS TRAINING COLLEGE,College,Public,Ministry of Education,KIAMBU COUNTY
460,TIGANIA EAST TVC,TIGANIA EAST TECHNICAL & VOCATIONAL COLLEGE,College,Public,Ministry of Education,MERU COUNTY
461,TINDERET INTERGRATED TECHNICAL TC,TINDERET INTERGRATED TECHNICAL AND TRAINERS COLLEGE,College,Public,Ministry of Education,NANDI COUNTY
462,TINDIRET TVC,TINDIRET TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,NANDI COUNTY
463,TOMBOYA LC,TOM MBOYA LABOUR COLLEGE,College,Public,,KISUMU COUNTY
464,TMU,TOM MBOYA UNIVERSITY,University,Public,Ministry of Education,HOMA BAY COUNTY
465,TOTAL TVC,TOTAL TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,NAKURU COUNTY
466,TSEIKURU TTI,TSEIKURU TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,KITUI COUNTY
467,TUK TVET INSTITUTE,TUK DIRECTORATE OF TVET COLLEGE,College,Public,University TVET,NAIROBI COUNTY
468,TURBO TVC,TURBO TECHNICAL & VOCATIONAL COLLEGE,College,Public,Ministry of Education,UASIN GISHU COUNTY
469,TURKANA EAST TVC,TURKANA EAST TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,TURKANA COUNTY
470,TURKANA NORTH TVC,TURKANA NORTH TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,TURKANA COUNTY
471,TRUC,TURKANA UNIVERSITY COLLEGE,University,Public,Ministry of Education,TURKANA COUNTY
472,TURKANA UNIVERSITY TVET INSTITUTE,TURKANA UNIVERSITY TVET INSTITUTE,College,Public,University TVET,TURKANA COUNTY
473,UGENYA TC,UGENYA TEACHERS COLLEGE,College,Public,Ministry of Education,SIAYA COUNTY
474,UGENYA TVC,UGENYA TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,SIAYA COUNTY
475,UGUNJA TVC,UGUNJA TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,SIAYA COUNTY
476,BARA,"UNIVERSITY OF EASTERN AFRICA, BARATON",University,Private,Private Institution,NANDI COUNTY
477,UOE,UNIVERSITY OF ELDORET,University,Public,Ministry of Education,UASIN GISHU COUNTY
478,UOEM,UNIVERSITY OF EMBU,University,Public,Ministry of Education,EMBU COUNTY
479,UOK,UNIVERSITY OF KABIANGA,University,Public,Ministry of Education,KERICHO COUNTY
480,UON,UNIVERSITY OF NAIROBI,University,Public,Ministry of Education,NAIROBI COUNTY
481,URIRI TVC,URIRI TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,MIGORI COUNTY
482,UZIMA,UZIMA UNIVERSITY,University,Private,Private Institution,KISUMU COUNTY
483,WAJIR EAST TVC,WAJIR EAST TECHNICAL & VOCATIONAL COLLEGE,College,Public,Ministry of Education,WAJIR COUNTY
484,WAJIR SOUTH TVC,WAJIR SOUTH TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,WAJIR COUNTY
485,WANGA TVC,WANGA TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,KAKAMEGA COUNTY
486,WEBUYE WEST TVC,WEBUYE WEST TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,BUNGOMA COUNTY
487,WERU TVC,WERU TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,KILIFI COUNTY
488,WEST MUGIRANGO TVC,WEST MUGIRANGO  TECHCHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,NYAMIRA COUNTY
489,WOTE TTI,WOTE TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,MAKUENI COUNTY
490,WUMINGU TVC,WUMINGU TECHNICAL & VOCATIONAL COLLEGE,College,Public,Ministry of Education,TAITA TAVETA COUNTY
491,YATTA TVC,YATTA TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,MACHAKOS COUNTY
492,ZETECH,ZETECH UNIVERSITY,University,Private,Private Institution,NAIROBI COUNTY
493,ZIWA TTI,ZIWA TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,UASIN GISHU COUNTY
